Date,Spot,HV,Daily_Change,Weekly_Change,Strike,IV
2/28/2025,0.7375,0.4615859351,0.05357142857,0.1220238095,0.95,0.4617307305
3/3/2025,0.76,0.460028732,0.03050847458,0.05295950156,0.95,0.4259649054
3/4/2025,0.745,0.4599510857,0.01973684211,0.02931596091,0.95,0.4459926271
3/5/2025,0.7075,0.4601235913,0.05033557047,0.08709677419,0.95,0.7095802862
3/6/2025,0.72,0.4601408707,0.01766784452,0.02372881356,0.95,0.5230578182
3/7/2025,0.7,0.4606665197,0.02777777778,0.02777777778,0.95,0.5554256522
3/10/2025,0.6975,0.4602568138,0.003571428571,0.003571428571,0.95,0.5863223041
3/11/2025,0.71,0.4587471622,0.01792114695,0.03728813559,0.95,0.5666695983
3/12/2025,0.7125,0.4555806274,0.003521126761,0.0625,0.95,0.5572853822
3/13/2025,0.73,0.4458326516,0.02456140351,0.02013422819,0.95,0.5284698409
3/14/2025,0.735,0.4443136796,0.006849315068,0.03886925795,0.95,0.5213566326
3/17/2025,0.74,0.4439072326,0.006802721088,0.02777777778,0.95,0.6093807174
3/18/2025,0.765,0.4449842452,0.03378378378,0.09285714286,0.95,0.5704813832
3/19/2025,0.755,0.4430316139,0.01307189542,0.08243727599,0.95,0.5904565477
3/20/2025,0.755,0.4428681393,0,0.06338028169,0.95,0.7709006102
3/21/2025,0.7625,0.4420825057,0.009933774834,0.0701754386,0.95,0.8172667147
3/24/2025,0.805,0.4449460831,0.05573770492,0.102739726,0.95,0.7884570188
3/25/2025,0.84,0.4466957075,0.04347826087,0.1428571429,0.95,0.7081118713
3/26/2025,0.8425,0.4466955465,0.002976190476,0.1385135135,0.95,0.7046025648
3/27/2025,0.885,0.4488191056,0.05044510386,0.1568627451,0.95,0.58000218
3/28/2025,0.955,0.4549298892,0.0790960452,0.2649006623,0.95,0.4707757872
3/31/2025,0.9525,0.4549074203,0.002617801047,0.261589404,0.95,0.509628914
4/1/2025,0.94,0.4544994059,0.01312335958,0.2327868852,0.95,0.4822188385
4/2/2025,0.945,0.4507351709,0.005319148936,0.1739130435,0.95,0.5380890207
4/3/2025,0.9425,0.4506017522,0.002645502646,0.1220238095,0.95,0.4984481875
4/4/2025,0.96,0.4508277441,0.01856763926,0.1394658754,0.95,0.452417545
4/7/2025,0.965,0.450836202,0.005208333333,0.09039548023,0.95,0.4455955298
4/8/2025,0.965,0.4507386159,0,0.01047120419,0.95,0.4761675777
4/9/2025,0.95,0.4491457423,0.01554404145,0.002624671916,0.95,0.4937282598
4/10/2025,0.9675,0.445432928,0.01842105263,0.02925531915,0.95,0.5083943892
4/11/2025,0.98,0.4455349992,0.01291989664,0.03703703704,0.95,0.6228693305
4/14/2025,0.9825,0.4424693218,0.002551020408,0.0424403183,0.95,0.6097748839
4/15/2025,0.9775,0.4423119887,0.005089058524,0.01822916667,0.95,0.6795012194
4/16/2025,0.97875,0.4421029737,0.001278772379,0.01424870466,0.95,0.4818
4/17/2025,0.985,0.4409992936,0.006385696041,0.0207253886,0.95,0.3941
4/21/2025,1.02,0.4406673897,0.03553299492,0.07368421053,0.95,0.3414
4/22/2025,1.0625,0.4409205774,0.04166666667,0.09819121447,0.95,0.5023
4/23/2025,1.06,0.4405345075,0.002352941176,0.08163265306,0.95,0.4888
4/24/2025,1.06,0.4390576577,0,0.07888040712,0.95,0.5391
4/25/2025,1.0675,0.438980152,0.007075471698,0.09207161125,0.95,0.4426
4/28/2025,1.1025,0.4398283368,0.03278688525,0.1264367816,0.95,0.4534
4/29/2025,1.105,0.4354870258,0.002267573696,0.1218274112,0.95,0.5176
4/30/2025,1.1175,0.4339670234,0.01131221719,0.09558823529,0.95,0.6227
5/1/2025,1.08,0.4347897151,0.03355704698,0.01647058824,0.95,0.5829
5/2/2025,1.085,0.4345727899,0.00462962963,0.02358490566,0.95,0.5855
5/5/2025,1.0725,0.4347674024,0.01152073733,0.01179245283,0.95,0.5187
5/6/2025,1.065,0.4341982116,0.006993006993,0.002341920375,0.95,0.4488
5/7/2025,1.075,0.4339938236,0.009389671362,0.02494331066,0.95,0.4201
5/8/2025,1.0875,0.433276857,0.01162790698,0.01583710407,0.95,0.4052
5/9/2025,1.105,0.4324017124,0.01609195402,0.01118568233,0.95,0.7746
5/12/2025,1.0075,0.4393506245,0.08823529412,0.06712962963,0.95,0.8632
5/13/2025,1.0225,0.4342496644,0.01488833747,0.05760368664,0.95,0.4269
5/14/2025,1.0275,0.4332397047,0.00488997555,0.04195804196,0.95,0.4756
5/15/2025,1.04,0.4331409018,0.01216545012,0.0234741784,0.95,0.4605
5/16/2025,1.06,0.43215174,0.01923076923,0.01395348837,0.95,0.5745
5/19/2025,1.03,0.4302020239,0.02830188679,0.05287356322,0.95,0.6964
5/20/2025,1.04,0.4297356002,0.009708737864,0.05882352941,0.95,0.5127
5/21/2025,1.04,0.4253165289,0,0.03225806452,0.95,0.6478
5/22/2025,1.0025,0.4258644837,0.03605769231,0.0195599022,0.95,0.8141
5/23/2025,0.9275,0.4313308046,0.07481296758,0.09732360097,0.95,0.7688
5/27/2025,0.89,0.4334905384,0.04043126685,0.1442307692,0.95,0.855
5/28/2025,0.8475,0.4361899696,0.04775280899,0.2004716981,0.95,0.5425
6/2/2025,0.8475,0.4388606604,0.04721753794,0.1850961538,0.95,.7688
6/3/2025,0.8675,0.4378298265,0.02359882006,0.1658653846,0.95,.8550
6/4/2025,0.9,0.43521631,0.03746397695,0.102244389,0.95,.5425
6/5/2025,.9,0.4437318316,0.0001111111111,0.02954177898,0.95,.5467